"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"dwy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"e'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ea",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ee",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ee'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ei",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"en",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"eo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"eu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ey",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"f'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"fa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"fae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fl'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"fla",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"fle",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fli",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"flo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"flu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fly",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"fr'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"fra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"fre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fri",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fro",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"fru",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fry",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
