"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"de",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dh'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"dha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhaé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dhe",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dhé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,1,0,0,0
"dhoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dhu",TRUE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"dhy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"di",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"do",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"doo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"drae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dray",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"dre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dré",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dri",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dro",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"droo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dru",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dry",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"du",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dw'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"dwa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dwae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dway",TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0
"dwe",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"dwé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dwi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dwo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"dwy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"e'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ea",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"eay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ee",TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0
"eé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ée",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ee'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ei",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"en",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"eo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"eu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0
"ey",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"f'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"fa",TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,0,0,0
"fae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fe",TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0
"fé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"fi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fl'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"fla",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"flae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"flay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"fle",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"flé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"fli",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"flo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"flu",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"fly",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"foo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fr'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"fra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"fray",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"fre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fré",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fri",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fro",TRUE,TRUE,TRUE,FALSE,1,0,0,0,0,0,0,0
"fru",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
